clip_id,clip_path,source_id,source_video_id,camera_id,source_start_sec,source_end_sec,duration_sec,fps,width,height,codec,sha256,qc_status,metadata_status,sampled_frame_count,vehicle_density_score,object_count_estimate,observed_classes,activity_score,motion_variation_score,brightness_score,low_light_score,visual_variation_score,foreground_occupancy_score,persistence_score,diversity_score,small_far_score,occlusion_score,boundary_edge_score,blur_score,crowded_score,fast_motion_score,hardcase_tags,hardcase_score,event_likelihood_score,event_likelihood_level,candidate_score,source_rank,global_rank,selection_rank,recommended_for_shortlist,selection_status,selection_reason,manual_review_status,manual_review_label,manual_review_notes,signal_status,prediction_status,notes
LF_ZmCAo38w_C021,data/clips/LF_ZmCAo38w_C021.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,2200.0,2320.0,120.0,30.0,1920,1080,h264,98cba800e137e63155256bd799f6589b065c68ba99976d6adf25619569ed3e65,PASS,WARNING,12,0.384624,11.545,NOT_INFERRED_NO_DETECTOR,0.519124,0.481224,0.435844,0.000000,0.119240,0.384624,0.909091,0.602535,0.667002,0.702248,0.326043,0.000000,0.962121,0.695236,SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION,0.501389,0.483308,HIGH,0.514129,4,4,4,YES,SELECTED,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C022,data/clips/LF_ZmCAo38w_C022.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,2310.0,2430.0,120.0,30.0,1920,1080,h264,47c9455d75e7a88800236618b76a623523a93ebdc0717811be7fceb526b44911,PASS,WARNING,12,0.284353,9.545,NOT_INFERRED_NO_DETECTOR,0.410808,0.470744,0.445873,0.000000,0.132140,0.284353,0.909091,0.501909,0.675983,0.565459,0.295038,0.000000,0.795455,0.600182,SMALL_FAR|CROWDED,0.441441,0.422292,HIGH,0.440607,22,34,34,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C023,data/clips/LF_ZmCAo38w_C023.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,2420.0,2540.0,120.0,30.0,1920,1080,h264,a8aa745852c1042f369ca56f79a015f063ee69cd72cdeedea6f8adc814fd187a,PASS,WARNING,12,0.270006,10.818,NOT_INFERRED_NO_DETECTOR,0.394277,0.390057,0.444900,0.000000,0.114830,0.270006,0.909091,0.447002,0.728568,0.617336,0.364386,0.000000,0.901515,0.530605,SMALL_FAR|CROWDED,0.476498,0.409835,HIGH,0.433324,26,41,41,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C024,data/clips/LF_ZmCAo38w_C024.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,2530.0,2650.0,120.0,30.0,1920,1080,h264,a247008e4ecb5431289c4890deaf03d9739a60e4b166a57987aa337057e68d46,PASS,WARNING,12,0.312266,10.000,NOT_INFERRED_NO_DETECTOR,0.451687,0.418021,0.441458,0.000000,0.148614,0.312266,0.909091,0.542509,0.635917,0.598853,0.271256,0.000000,0.833333,0.538525,CROWDED,0.434237,0.445786,HIGH,0.460670,18,28,28,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C025,data/clips/LF_ZmCAo38w_C025.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,2640.0,2760.0,120.0,30.0,1920,1080,h264,27f6dd7c1bd11dc74231c0de2d38979aa8dd615a770c1f3ed0e9a0c8e93e0429,PASS,WARNING,12,0.478706,11.091,NOT_INFERRED_NO_DETECTOR,0.627599,0.716478,0.431527,0.000000,0.218164,0.478706,0.909091,0.808701,0.756657,0.723751,0.263217,0.000000,0.924242,0.950733,SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION,0.536341,0.562390,HIGH,0.607257,1,1,1,YES,SELECTED,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C026,data/clips/LF_ZmCAo38w_C026.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,2750.0,2870.0,120.0,30.0,1920,1080,h264,77440d7f24fa0603696728b4d4724e101d862aa5353dbabd908f78f14387ed2c,PASS,WARNING,12,0.314315,10.091,NOT_INFERRED_NO_DETECTOR,0.430635,0.473016,0.437540,0.000000,0.139018,0.314315,0.909091,0.549782,0.701568,0.603942,0.198937,0.000000,0.840909,0.671120,SMALL_FAR|CROWDED|FAST_MOTION,0.453765,0.439071,HIGH,0.462101,17,27,27,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C027,data/clips/LF_ZmCAo38w_C027.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,2860.0,2980.0,120.0,30.0,1920,1080,h264,1b4e822d949b7906c0f0be27be02e2cd4bcd80690a9a9832c20c49bf0a03e97c,PASS,WARNING,12,0.234836,13.455,NOT_INFERRED_NO_DETECTOR,0.356483,0.417452,0.448287,0.000000,0.097861,0.234836,0.909091,0.407247,0.773792,0.655676,0.207868,0.000000,1.000000,0.583113,SMALL_FAR|OCCLUSION|CROWDED,0.490152,0.384619,HIGH,0.414865,33,55,55,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C028,data/clips/LF_ZmCAo38w_C028.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,2970.0,3090.0,120.0,30.0,1920,1080,h264,16ac4f9cbe1419f91687c61115493bbe32a2188c61627de194aab99ebb8a27d0,PASS,WARNING,12,0.199527,10.273,NOT_INFERRED_NO_DETECTOR,0.311136,0.342802,0.451022,0.000000,0.089501,0.199527,0.909091,0.294959,0.725191,0.560620,0.161022,0.000000,0.856061,0.492183,SMALL_FAR|CROWDED,0.427596,0.358865,MEDIUM,0.360879,50,105,105,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C029,data/clips/LF_ZmCAo38w_C029.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,3080.0,3200.0,120.0,30.0,1920,1080,h264,bee8c927cd5223a114f83d966751964fb56c9f095944acc467e30fc5e0e6ac3d,PASS,WARNING,12,0.254463,11.818,NOT_INFERRED_NO_DETECTOR,0.394323,0.397977,0.430339,0.000000,0.142482,0.254463,0.909091,0.463809,0.752621,0.656175,0.214006,0.000000,0.984848,0.565015,SMALL_FAR|OCCLUSION|CROWDED,0.482675,0.409541,HIGH,0.437961,23,37,37,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C030,data/clips/LF_ZmCAo38w_C030.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,3190.0,3310.0,120.0,30.0,1920,1080,h264,9055f5f5b6716253b8d9b1bacea217cab4a320aa2f10024820126cc224940011,PASS,WARNING,12,0.400458,8.364,NOT_INFERRED_NO_DETECTOR,0.527910,0.464575,0.434423,0.000000,0.140415,0.400458,0.909091,0.584251,0.686259,0.563539,0.252308,0.000000,0.696970,0.685454,SMALL_FAR|CROWDED|FAST_MOTION,0.431515,0.494875,HIGH,0.497186,7,9,9,YES,SELECTED,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
