clip_id,source_id,source_video_id,camera_id,clip_path,source_start_sec,source_end_sec,duration_sec,sha256,sampled_frame_count,event_likelihood_score,event_likelihood_level,hardcase_score,hardcase_tags,diversity_score,candidate_score,source_rank,global_rank,selection_status,selection_reason,manual_review_status,manual_review_label,manual_review_notes,signal_status,prediction_status
LF_ZmCAo38w_C032,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,data/clips/LF_ZmCAo38w_C032.mp4,3410.0,3530.0,120.0,e018b38fa00a55df5251f1709059913357185ff7bb7924f52e8ca1a763c5c82a,12,0.438055,HIGH,0.508396,SMALL_FAR|OCCLUSION|CROWDED,0.578246,0.483688,11,14,SELECTED,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
interrupted_2026-09-17_C167,interrupted_2026-09-17,NUGc3nLuGsI,UNRESOLVED,data/clips/interrupted_2026-09-17_C167.mp4,18260.0,18380.0,120.0,96b563a327d23dda05b99a8e511ac268a99bf8713232f7975f111a369cc6dd3f,12,0.438604,HIGH,0.467525,SMALL_FAR|CROWDED,0.693139,0.482486,5,16,SELECTED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
interrupted_2026-09-17_C180,interrupted_2026-09-17,NUGc3nLuGsI,UNRESOLVED,data/clips/interrupted_2026-09-17_C180.mp4,19690.0,19810.0,120.0,15c6e8de7e1630ad69584a1804d9ffbd8b0907c16d46b05ec13bacf5740602e0,12,0.430918,HIGH,0.501047,SMALL_FAR|OCCLUSION|CROWDED,0.619837,0.479273,6,17,SELECTED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
LF_ZmCAo38w_C018,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,data/clips/LF_ZmCAo38w_C018.mp4,1870.0,1990.0,120.0,309d0ac5154e39e51a120e08e095334a97e60e406de656970c66923747b484c6,12,0.448632,HIGH,0.454718,SMALL_FAR|CROWDED,0.584921,0.474257,13,20,SELECTED,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
interrupted_2026-09-17_C160,interrupted_2026-09-17,NUGc3nLuGsI,UNRESOLVED,data/clips/interrupted_2026-09-17_C160.mp4,17490.0,17610.0,120.0,731621c8c6d43796bc81fc2e3b8f3da0c81e22f3b75b9c511de70a346a61e72c,12,0.419583,HIGH,0.459136,SMALL_FAR|CROWDED|FAST_MOTION,0.651494,0.467078,9,23,SELECTED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
interrupted_2026-09-17_C165,interrupted_2026-09-17,NUGc3nLuGsI,UNRESOLVED,data/clips/interrupted_2026-09-17_C165.mp4,18040.0,18160.0,120.0,8d10f1cf4a01e1b588751ae7719da89e1d0129292d9bdf5a45347c4632eb8034,12,0.417125,HIGH,0.455492,SMALL_FAR|CROWDED,0.616471,0.455890,11,30,SELECTED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
interrupted_2026-09-17_C162,interrupted_2026-09-17,NUGc3nLuGsI,UNRESOLVED,data/clips/interrupted_2026-09-17_C162.mp4,17710.0,17830.0,120.0,d3f81a9169fe0c61c553ae71eee147c435db4a23c4d89902b6fd56c56e94214d,12,0.412153,HIGH,0.456768,SMALL_FAR|CROWDED,0.595979,0.451258,12,31,SELECTED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
YppQ6BEHAKY_C048,YppQ6BEHAKY,YppQ6BEHAKY,UNRESOLVED,data/clips/YppQ6BEHAKY_C048.mp4,5170.0,5290.0,120.0,57b9749100b7e4f3f62bdc0ce67e230d23f7b9fb415191df9087598559602677,12,0.432678,HIGH,0.393187,SMALL_FAR,0.523986,0.438492,1,35,SELECTED,source_coverage=YppQ6BEHAKY; event_likelihood=HIGH; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
interrupted_2026-09-17_C173,interrupted_2026-09-17,NUGc3nLuGsI,UNRESOLVED,data/clips/interrupted_2026-09-17_C173.mp4,18920.0,19040.0,120.0,a6738ec696af0410dbd28032e44bae665cc7663b7d92d0619e54393be3d71c2b,12,0.393272,HIGH,0.395614,,0.453867,0.398324,29,69,SELECTED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=NORMAL_CASE; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
interrupted_2026-09-17_C204,interrupted_2026-09-17,NUGc3nLuGsI,UNRESOLVED,data/clips/interrupted_2026-09-17_C204.mp4,22330.0,22450.0,120.0,088d92ff168627ec96c1583a440852f72715d7f053937c4457591c3289016ef1,12,0.352442,MEDIUM,0.437938,SMALL_FAR|CROWDED|FAST_MOTION,0.482500,0.392880,32,75,SELECTED,source_coverage=interrupted_2026-09-17; event_likelihood=MEDIUM; hardcase=SMALL_FAR|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH
