clip_id,source_id,session_id,file_path,file_name,file_size_mb,sha256,source_start_sec,source_end_sec,duration_sec,fps,frame_count,width,height,codec,metadata_source,decode_ok,decode_error_count,first_frame_ok,middle_frame_ok,last_frame_ok,full_decode_ok,duplicate_group,overlap_group,overlap_status,overlap_max_sec,overlap_max_ratio,qc_status,qc_notes
LF_ZmCAo38w_C026,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C026.mp4,LF_ZmCAo38w_C026.mp4,118.076,77440d7f24fa0603696728b4d4724e101d862aa5353dbabd908f78f14387ed2c,2750.0,2870.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C027,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C027.mp4,LF_ZmCAo38w_C027.mp4,122.055,1b4e822d949b7906c0f0be27be02e2cd4bcd80690a9a9832c20c49bf0a03e97c,2860.0,2980.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C028,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C028.mp4,LF_ZmCAo38w_C028.mp4,110.229,16ac4f9cbe1419f91687c61115493bbe32a2188c61627de194aab99ebb8a27d0,2970.0,3090.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C029,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C029.mp4,LF_ZmCAo38w_C029.mp4,119.856,bee8c927cd5223a114f83d966751964fb56c9f095944acc467e30fc5e0e6ac3d,3080.0,3200.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C030,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C030.mp4,LF_ZmCAo38w_C030.mp4,131.471,9055f5f5b6716253b8d9b1bacea217cab4a320aa2f10024820126cc224940011,3190.0,3310.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C031,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C031.mp4,LF_ZmCAo38w_C031.mp4,108.219,1f7a38d01bedd0e40dcddd469ce4b766c9f8ff9bc8eda9e348e48bc7934f1f2d,3300.0,3420.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C032,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C032.mp4,LF_ZmCAo38w_C032.mp4,113.845,e018b38fa00a55df5251f1709059913357185ff7bb7924f52e8ca1a763c5c82a,3410.0,3530.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C033,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C033.mp4,LF_ZmCAo38w_C033.mp4,117.219,122f5c9d4aeeda52f609f15edb0cfd8349e5d7b3a353790c9d46534c9bf30c1a,3520.0,3640.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C034,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C034.mp4,LF_ZmCAo38w_C034.mp4,106.575,7a410576ca2eee5b09f0b7773cedbec03c0031ec48903c48c5ebab5da1d95efe,3630.0,3750.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C035,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C035.mp4,LF_ZmCAo38w_C035.mp4,117.263,85c809f284ab7748e9a7ce1cf803df222a827e0ce639a089b28282164ea1d8d9,3740.0,3860.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
